Question,Answer A,Answer B,Answer C,Answer D,Answer E,Correct Answer
"According to the Big Book, what is 'the number one offender' that destroys more alcoholics than anything else?",Fear,Resentment,Self-pity,Dishonesty,Pride,B
"In what year was the first edition of the book 'Alcoholics Anonymous' published?",1935,1937,1939,1941,1945,C
"Which doctor wrote 'The Doctor's Opinion' in the Big Book?",Dr. Bob Smith,Dr. William James,Dr. Carl Jung,Dr. William D. Silkworth,Dr. Leonard Strong,D
"According to the Doctor's Opinion, what does Dr. Silkworth call the alcoholic's reaction to alcohol?",A disease,An allergy,A weakness,A habit,A compulsion,B
"How many Steps are there in the AA program of recovery?",8,10,12,14,16,C
"What is the first word of Step One?",I,We,God,Admitted,Came,B
"According to the Big Book, what are alcoholics described as being 'without defense against'?",Alcohol,The first drink,Temptation,Relapse,Cravings,B
"Which Step asks members to make 'a searching and fearless moral inventory'?",Step Three,Step Four,Step Five,Step Six,Step Seven,B
"What phrase completes this Big Book passage: 'Rarely have we seen a person fail who has thoroughly followed our ____'?",Program,Steps,Path,Instructions,Way,C
"According to the 12&12, what is Step One described as requiring an admission of?",Defeat,Powerlessness,Weakness,Surrender,Failure,A
"In Bill's Story, on what day in 1934 did Bill W. have his last drink?",Thanksgiving Day,Christmas Day,Armistice Day,New Year's Day,Labor Day,C
"What phrase describes alcoholism in the Big Book: 'cunning, baffling, and ____'?",Deadly,Destructive,Powerful,Progressive,Dangerous,C
"According to the Big Book, what do the Three Pertinent Ideas state that probably no human power could have done?",Cured our disease,Relieved our alcoholism,Saved our lives,Changed our behavior,Stopped our drinking,B
"Which Step involves making 'a list of all persons we had harmed'?",Step Six,Step Seven,Step Eight,Step Nine,Step Ten,C
"What is the 'main purpose' of the Big Book according to its Foreword?",To inform the public about alcoholism,To show other alcoholics precisely how we have recovered,To provide a history of AA,To educate doctors about alcoholism,To help families understand alcoholics,B
"In what city did AA begin in 1935?",New York,Cleveland,Akron,Chicago,Detroit,C
"Which Step speaks of having 'had a spiritual awakening as the result of these steps'?",Step Ten,Step Eleven,Step Twelve,Step One,Step Three,C
"According to the Big Book, selfishness and self-centeredness are described as what?",The cause of our troubles,The root of our troubles,Our main problem,Our greatest defect,The source of our drinking,B
"What does the Big Book say 'Half measures' availed us?",Little,Something,Nothing,Failure,Trouble,C
"Which Tradition states that 'The only requirement for A.A. membership is a desire to stop drinking'?",Tradition One,Tradition Two,Tradition Three,Tradition Four,Tradition Five,C
"In the Doctor's Opinion, alcoholics are described as being 'restless, irritable and ____' unless they can drink.",Angry,Discontented,Anxious,Depressed,Unhappy,B
"Which Step involves being 'entirely ready to have God remove all these defects of character'?",Step Four,Step Five,Step Six,Step Seven,Step Eight,C
"According to the 12&12, what is called 'the key' to Step Three?",Faith,Willingness,Surrender,Humility,Honesty,B
"What does the Big Book call alcohol in relation to the alcoholic?",His enemy,His master,His destroyer,His obsession,His curse,B
"Which Tradition states that 'Each group has but one primary purpose—to carry the message to the alcoholic who still suffers'?",Tradition Three,Tradition Four,Tradition Five,Tradition Six,Tradition Seven,C
"In Bill's Story, what profession did Bill W. initially pursue before Wall Street?",Medicine,Accounting,Law,Engineering,Teaching,C
"According to the 12&12, what 'is the spiritual foundation of all our traditions'?",Humility,Service,Anonymity,Unity,Love,C
"What does the Big Book describe as 'the great obsession of every abnormal drinker'?",That he can drink safely,That he will control and enjoy his drinking,That he is not really alcoholic,That willpower will work,That he can quit anytime,B
"Which Step involves admitting 'to God, to ourselves, and to another human being the exact nature of our wrongs'?",Step Four,Step Five,Step Six,Step Seven,Step Eight,B
"According to the Big Book, we claim 'spiritual ____ rather than spiritual perfection'.",Growth,Progress,Improvement,Development,Advancement,B
"What is the name of the chapter that contains the 12 Steps in the Big Book?",The Program,Our Solution,How It Works,Into Action,The Answer,C
"Which Tradition says 'Our common welfare should come first; personal recovery depends upon A.A. unity'?",Tradition One,Tradition Two,Tradition Three,Tradition Four,Tradition Five,A
"According to the Doctor's Opinion, what is needed to produce 'the essential psychic change'?",Willpower,Self-knowledge,Something more than human power,Medical treatment,Therapy,C
"In the Big Book, what are the three things 'our stories disclose in a general way'?",Past present and future,Problems solutions and results,What we used to be like what happened and what we are like now,Our drinking our recovery and our sobriety,Our failures our struggles and our success,C
"Which Step involves humbly asking God 'to remove our shortcomings'?",Step Five,Step Six,Step Seven,Step Eight,Step Nine,C
"According to the 12&12, what does Step Two describe as being 'restored to' us?",Health,Sobriety,Sanity,Balance,Peace,C
"What does the Big Book say is 'too much for us' without help?",Life,Alcohol,Our problems,Recovery,Sobriety,B
"Which Tradition states that 'A.A. has no opinion on outside issues'?",Tradition Eight,Tradition Nine,Tradition Ten,Tradition Eleven,Tradition Twelve,C
"How many men are said to have recovered in the original Foreword to the first edition Big Book?",Fifty,Seventy-five,More than one hundred,One hundred fifty,Two hundred,C
"According to the 12&12, what is 'the beginning of the end of isolation'?",Step Five,Step Seven,Step Eight,Step Nine,Step Twelve,C
"In the Big Book, what book by William James is referenced?",Psychology of Religion,The Will to Believe,Varieties of Religious Experience,Pragmatism,Principles of Psychology,C
"Which Step involves seeking 'through prayer and meditation to improve our conscious contact with God'?",Step Nine,Step Ten,Step Eleven,Step Twelve,Step Three,C
"According to the Big Book, what 'is the root of our troubles'?",Drinking,Fear,Selfishness—self-centeredness,Resentment,Dishonesty,C
"Which Tradition speaks of 'our public relations policy is based on attraction rather than promotion'?",Tradition Nine,Tradition Ten,Tradition Eleven,Tradition Twelve,Tradition Eight,C
"In the Doctor's Opinion, what does Dr. Silkworth say men and women drink essentially because of?",Weakness,Stress,They like the effect produced by alcohol,Mental illness,Bad habits,C
"According to the 12&12, what characteristic does it say is 'outstanding' in many alcoholics?",Pride,Denial,Defiance,Stubbornness,Fear,C
"What phrase in the Big Book describes an alcoholic as being like when drinking?",An unlovely creature,A sick person,A lost soul,A hopeless case,A desperate man,A
"Which Tradition states that 'Every A.A. group ought to be fully self-supporting'?",Tradition Five,Tradition Six,Tradition Seven,Tradition Eight,Tradition Nine,C
"According to the Big Book chapter 'We Agnostics', what was the dilemma of those early members?",Finding time for recovery,Lack of power,Finding a meeting,Getting sober,Staying honest,B
"In Step Three, members make a decision to turn their will and lives over to 'the care of God ____'.",Our Father,Almighty,As we understood Him,Our Creator,The Higher Power,C
